2018-11-16 14:10:58.088 [restartedMain] INFO  com.cn.szl.tupu.TupuApplication - Starting TupuApplication on DESKTOP-N1LNUQ6 with PID 2460 (started by ylaxfcy in C:\Users\ylaxfcy\Desktop\base项目\tupu)
2018-11-16 14:10:58.089 [restartedMain] INFO  com.cn.szl.tupu.TupuApplication - No active profile set, falling back to default profiles: default
2018-11-16 14:10:58.124 [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@62fb6dfd: startup date [Fri Nov 16 14:10:58 CST 2018]; root of context hierarchy
2018-11-16 14:10:59.058 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3e4b2a7d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-16 14:10:59.367 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2018-11-16 14:10:59.376 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2018-11-16 14:10:59.384 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2018-11-16 14:10:59.384 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2018-11-16 14:10:59.387 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_121\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files\Microsoft SQL Server\110\Tools\Binn\;C:\Program Files (x86)\Microsoft SDKs\TypeScript\1.0\;C:\Program Files\Microsoft SQL Server\120\Tools\Binn\;C:\Program Files (x86)\IDM Computer Solutions\UltraEdit;C:\CTEX\UserData\miktex\bin;C:\CTEX\MiKTeX\miktex\bin;C:\CTEX\CTeX\ctex\bin;C:\CTEX\CTeX\cct\bin;C:\CTEX\CTeX\ty\bin;C:\CTEX\Ghostscript\gs9.05\bin;C:\CTEX\GSview\gsview;C:\CTEX\WinEdt;C:\Python27;C:\Program Files\CMake\bin;.;C:\Program Files\Java\jdk1.8.0_121\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\Program Files\phantomjs-2.1.1-windows\bin;C:\Program Files\PuTTY\;C:\Program Files\Maven\apache-maven-3.5.0\bin;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Git\cmd;C:\Program Files\nodejs\;C:\mysql-5.7.24-winx64\bin;C:\Users\ylaxfcy\AppData\Local\Microsoft\WindowsApps;;c:\python27;c:\python27\Scripts;C:\Program Files (x86)\Microsoft VS Code\bin;C:\Users\ylaxfcy\AppData\Roaming\npm;.]
2018-11-16 14:10:59.489 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2018-11-16 14:10:59.490 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1366 ms
